127.0.0.1 - - [20/Nov/2024:15:02:16 +0800] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:16 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:20 +0800] "GET /javaweb/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:20 +0800] "GET /javaweb/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:24 +0800] "GET /javaweb/products HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:24 +0800] "GET /javaweb/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:29 +0800] "GET /javaweb/products HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:29 +0800] "GET /javaweb/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:31 +0800] "POST /javaweb/login HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:34 +0800] "GET /javaweb/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:39 +0800] "POST /javaweb/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:02:39 +0800] "GET /javaweb/products HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:26 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /javaweb/products HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:27 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:47 +0800] "GET /javaweb/products HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:47 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:47 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/products HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/products HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/products HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/products HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:03:48 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:04:20 +0800] "GET /javaweb/products HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:04:20 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:04:20 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:04:47 +0800] "GET /javaweb/cart HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:04:54 +0800] "GET /javaweb/products HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:04:55 +0800] "GET /javaweb/order HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:04:58 +0800] "GET /javaweb/user/update/password HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:05:00 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:05:36 +0800] "GET /javaweb/cart HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:06:31 +0800] "GET /javaweb/cart HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:06:34 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:43 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
